_id.int32(),name.string(),type1.string(),type2.string(),total.int32(),hp.int32(),attack.int32(),defense.int32(),spatk.int32(),spdef.int32(),speed.int32(),generation.int32(),legendary.boolean()
67,machoke,fighting,,405,80,100,70,50,60,45,1,false
68,machamp,fighting,,505,90,130,80,65,85,55,1,false
69,bellsprout,grass,poison,300,50,75,35,70,30,40,1,false
70,weepinbell,grass,poison,390,65,90,50,85,45,55,1,false
71,victreebel,grass,poison,490,80,105,65,100,70,70,1,false
72,tentacool,water,poison,335,40,40,35,50,100,70,1,false
73,tentacruel,water,poison,515,80,70,65,80,120,100,1,false
74,geodude,rock,ground,300,40,80,100,30,30,20,1,false
75,graveler,rock,ground,390,55,95,115,45,45,35,1,false
76,golem,rock,ground,495,80,120,130,55,65,45,1,false
77,ponyta,fire,,410,50,85,55,65,65,90,1,false
78,rapidash,fire,,500,65,100,70,80,80,105,1,false
79,slowpoke,water,psychic,315,90,65,65,40,40,15,1,false
80,slowbro,water,psychic,490,95,75,110,100,80,30,1,false
81,magnemite,electric,steel,325,25,35,70,95,55,45,1,false
82,magneton,electric,steel,465,50,60,95,120,70,70,1,false
83,farfetch'd,normal,flying,352,52,65,55,58,62,60,1,false
84,doduo,normal,flying,310,35,85,45,35,35,75,1,false
85,dodrio,normal,flying,460,60,110,70,60,60,100,1,false
86,seel,water,,325,65,45,55,45,70,45,1,false
87,dewgong,water,ice,475,90,70,80,70,95,70,1,false
88,grimer,poison,,325,80,80,50,40,50,25,1,false
89,muk,poison,,500,105,105,75,65,100,50,1,false
90,shellder,water,,305,30,65,100,45,25,40,1,false
91,cloyster,water,ice,525,50,95,180,85,45,70,1,false
92,gastly,ghost,poison,310,30,35,30,100,35,80,1,false
93,haunter,ghost,poison,405,45,50,45,115,55,95,1,false
94,gengar,ghost,poison,500,60,65,60,130,75,110,1,false
95,onix,rock,ground,385,35,45,160,30,45,70,1,false
96,drowzee,psychic,,328,60,48,45,43,90,42,1,false
97,hypno,psychic,,483,85,73,70,73,115,67,1,false
98,krabby,water,,325,30,105,90,25,25,50,1,false
99,kingler,water,,475,55,130,115,50,50,75,1,false
100,voltorb,electric,,330,40,30,50,55,55,100,1,false
101,electrode,electric,,480,60,50,70,80,80,140,1,false
102,exeggcute,grass,psychic,325,60,40,80,60,45,40,1,false
103,exeggutor,grass,psychic,520,95,95,85,125,65,55,1,false
104,cubone,ground,,320,50,50,95,40,50,35,1,false
105,marowak,ground,,425,60,80,110,50,80,45,1,false
106,hitmonlee,fighting,,455,50,120,53,35,110,87,1,false
107,hitmonchan,fighting,,455,50,105,79,35,110,76,1,false
108,lickitung,normal,,385,90,55,75,60,75,30,1,false
109,koffing,poison,,340,40,65,95,60,45,35,1,false
110,weezing,poison,,490,65,90,120,85,70,60,1,false
111,rhyhorn,ground,rock,345,80,85,95,30,30,25,1,false
112,rhydon,ground,rock,485,105,130,120,45,45,40,1,false
113,chansey,normal,,450,250,5,5,35,105,50,1,false
114,tangela,grass,,435,65,55,115,100,40,60,1,false
115,kangaskhan,normal,,490,105,95,80,40,80,90,1,false
116,horsea,water,,295,30,40,70,70,25,60,1,false
117,seadra,water,,440,55,65,95,95,45,85,1,false
118,goldeen,water,,320,45,67,60,35,50,63,1,false
119,seaking,water,,450,80,92,65,65,80,68,1,false
120,staryu,water,,340,30,45,55,70,55,85,1,false
121,starmie,water,psychic,520,60,75,85,100,85,115,1,false
122,mr. mime,psychic,fairy,460,40,45,65,100,120,90,1,false
123,scyther,bug,flying,500,70,110,80,55,80,105,1,false
124,jynx,ice,psychic,455,65,50,35,115,95,95,1,false
125,electabuzz,electric,,490,65,83,57,95,85,105,1,false
126,magmar,fire,,495,65,95,57,100,85,93,1,false
127,pinsir,bug,,500,65,125,100,55,70,85,1,false
128,tauros,normal,,490,75,100,95,40,70,110,1,false
129,magikarp,water,,200,20,10,55,15,20,80,1,false
130,gyarados,water,flying,540,95,125,79,60,100,81,1,false
131,lapras,water,ice,535,130,85,80,85,95,60,1,false
132,ditto,normal,,288,48,48,48,48,48,48,1,false
133,eevee,normal,,325,55,55,50,45,65,55,1,false
134,vaporeon,water,,525,130,65,60,110,95,65,1,false
135,jolteon,electric,,525,65,65,60,110,95,130,1,false
136,flareon,fire,,525,65,130,60,95,110,65,1,false
137,porygon,normal,,395,65,60,70,85,75,40,1,false
138,omanyte,rock,water,355,35,40,100,90,55,35,1,false
139,omastar,rock,water,495,70,60,125,115,70,55,1,false
140,kabuto,rock,water,355,30,80,90,55,45,55,1,false
141,kabutops,rock,water,495,60,115,105,65,70,80,1,false
142,aerodactyl,rock,flying,515,80,105,65,60,75,130,1,false
143,snorlax,normal,,540,160,110,65,65,110,30,1,false
144,articuno,ice,flying,580,90,85,100,95,125,85,1,true
145,zapdos,electric,flying,580,90,90,85,125,90,100,1,true
146,moltres,fire,flying,580,90,100,90,125,85,90,1,true
147,dratini,dragon,,300,41,64,45,50,50,50,1,false
148,dragonair,dragon,,420,61,84,65,70,70,70,1,false
149,dragonite,dragon,flying,600,91,134,95,100,100,80,1,false
150,mewtwo,psychic,,680,106,110,90,154,90,130,1,true
151,mew,psychic,,600,100,100,100,100,100,100,1,false
152,chikorita,grass,,318,45,49,65,49,65,45,2,false
153,bayleef,grass,,405,60,62,80,63,80,60,2,false
154,meganium,grass,,525,80,82,100,83,100,80,2,false
155,cyndaquil,fire,,309,39,52,43,60,50,65,2,false
156,quilava,fire,,405,58,64,58,80,65,80,2,false
157,typhlosion,fire,,534,78,84,78,109,85,100,2,false
158,totodile,water,,314,50,65,64,44,48,43,2,false
159,croconaw,water,,405,65,80,80,59,63,58,2,false
160,feraligatr,water,,530,85,105,100,79,83,78,2,false
161,sentret,normal,,215,35,46,34,35,45,20,2,false
162,furret,normal,,415,85,76,64,45,55,90,2,false
163,hoothoot,normal,flying,262,60,30,30,36,56,50,2,false
164,noctowl,normal,flying,442,100,50,50,76,96,70,2,false
165,ledyba,bug,flying,265,40,20,30,40,80,55,2,false
166,ledian,bug,flying,390,55,35,50,55,110,85,2,false
167,spinarak,bug,poison,250,40,60,40,40,40,30,2,false
168,ariados,bug,poison,390,70,90,70,60,60,40,2,false
169,crobat,poison,flying,535,85,90,80,70,80,130,2,false
170,chinchou,water,electric,330,75,38,38,56,56,67,2,false
171,lanturn,water,electric,460,125,58,58,76,76,67,2,false
172,pichu,electric,,205,20,40,15,35,35,60,2,false
173,cleffa,fairy,,218,50,25,28,45,55,15,2,false
174,igglybuff,normal,fairy,210,90,30,15,40,20,15,2,false
175,togepi,fairy,,245,35,20,65,40,65,20,2,false
176,togetic,fairy,flying,405,55,40,85,80,105,40,2,false
177,natu,psychic,flying,320,40,50,45,70,45,70,2,false
178,xatu,psychic,flying,470,65,75,70,95,70,95,2,false
179,mareep,electric,,280,55,40,40,65,45,35,2,false
180,flaaffy,electric,,365,70,55,55,80,60,45,2,false
181,ampharos,electric,,510,90,75,85,115,90,55,2,false
182,bellossom,grass,,490,75,80,95,90,100,50,2,false
183,marill,water,fairy,250,70,20,50,20,50,40,2,false
184,azumarill,water,fairy,420,100,50,80,60,80,50,2,false
185,sudowoodo,rock,,410,70,100,115,30,65,30,2,false
186,politoed,water,,500,90,75,75,90,100,70,2,false
187,hoppip,grass,flying,250,35,35,40,35,55,50,2,false
188,skiploom,grass,flying,340,55,45,50,45,65,80,2,false
189,jumpluff,grass,flying,460,75,55,70,55,95,110,2,false
190,aipom,normal,,360,55,70,55,40,55,85,2,false
191,sunkern,grass,,180,30,30,30,30,30,30,2,false
192,sunflora,grass,,425,75,75,55,105,85,30,2,false
193,yanma,bug,flying,390,65,65,45,75,45,95,2,false
194,wooper,water,ground,210,55,45,45,25,25,15,2,false
195,quagsire,water,ground,430,95,85,85,65,65,35,2,false
196,espeon,psychic,,525,65,65,60,130,95,110,2,false
197,umbreon,dark,,525,95,65,110,60,130,65,2,false
198,murkrow,dark,flying,405,60,85,42,85,42,91,2,false
199,slowking,water,psychic,490,95,75,80,100,110,30,2,false
200,misdreavus,ghost,,435,60,60,60,85,85,85,2,false
201,unown,psychic,,336,48,72,48,72,48,48,2,false
202,wobbuffet,psychic,,405,190,33,58,33,58,33,2,false
203,girafarig,normal,psychic,455,70,80,65,90,65,85,2,false
204,pineco,bug,,290,50,65,90,35,35,15,2,false
205,forretress,bug,steel,465,75,90,140,60,60,40,2,false
206,dunsparce,normal,,415,100,70,70,65,65,45,2,false
207,gligar,ground,flying,430,65,75,105,35,65,85,2,false
208,steelix,steel,ground,510,75,85,200,55,65,30,2,false
209,snubbull,fairy,,300,60,80,50,40,40,30,2,false
210,granbull,fairy,,450,90,120,75,60,60,45,2,false
211,qwilfish,water,poison,430,65,95,75,55,55,85,2,false
212,scizor,bug,steel,500,70,130,100,55,80,65,2,false
213,shuckle,bug,rock,505,20,10,230,10,230,5,2,false
214,heracross,bug,fighting,500,80,125,75,40,95,85,2,false
215,sneasel,dark,ice,430,55,95,55,35,75,115,2,false
216,teddiursa,normal,,330,60,80,50,50,50,40,2,false
217,ursaring,normal,,500,90,130,75,75,75,55,2,false
218,slugma,fire,,250,40,40,40,70,40,20,2,false
219,magcargo,fire,rock,410,50,50,120,80,80,30,2,false
220,swinub,ice,ground,250,50,50,40,30,30,50,2,false
221,piloswine,ice,ground,450,100,100,80,60,60,50,2,false
222,corsola,water,rock,380,55,55,85,65,85,35,2,false
223,remoraid,water,,300,35,65,35,65,35,65,2,false
224,octillery,water,,480,75,105,75,105,75,45,2,false
225,delibird,ice,flying,330,45,55,45,65,45,75,2,false
226,mantine,water,flying,465,65,40,70,80,140,70,2,false
227,skarmory,steel,flying,465,65,80,140,40,70,70,2,false
228,houndour,dark,fire,330,45,60,30,80,50,65,2,false
229,houndoom,dark,fire,500,75,90,50,110,80,95,2,false
230,kingdra,water,dragon,540,75,95,95,95,95,85,2,false
231,phanpy,ground,,330,90,60,60,40,40,40,2,false
232,donphan,ground,,500,90,120,120,60,60,50,2,false
233,porygon2,normal,,515,85,80,90,105,95,60,2,false
234,stantler,normal,,465,73,95,62,85,65,85,2,false
235,smeargle,normal,,250,55,20,35,20,45,75,2,false
236,tyrogue,fighting,,210,35,35,35,35,35,35,2,false
237,hitmontop,fighting,,455,50,95,95,35,110,70,2,false
238,smoochum,ice,psychic,305,45,30,15,85,65,65,2,false
239,elekid,electric,,360,45,63,37,65,55,95,2,false
240,magby,fire,,365,45,75,37,70,55,83,2,false
241,miltank,normal,,490,95,80,105,40,70,100,2,false
242,blissey,normal,,540,255,10,10,75,135,55,2,false
243,raikou,electric,,580,90,85,75,115,100,115,2,true
244,entei,fire,,580,115,115,85,90,75,100,2,true
245,suicune,water,,580,100,75,115,90,115,85,2,true
246,larvitar,rock,ground,300,50,64,50,45,50,41,2,false
247,pupitar,rock,ground,410,70,84,70,65,70,51,2,false
248,tyranitar,rock,dark,600,100,134,110,95,100,61,2,false
249,lugia,psychic,flying,680,106,90,130,90,154,110,2,true
250,ho-oh,fire,flying,680,106,130,90,110,154,90,2,true
251,celebi,psychic,grass,600,100,100,100,100,100,100,2,false
252,treecko,grass,,310,40,45,35,65,55,70,3,false
253,grovyle,grass,,405,50,65,45,85,65,95,3,false
254,sceptile,grass,,530,70,85,65,105,85,120,3,false
255,torchic,fire,,310,45,60,40,70,50,45,3,false
256,combusken,fire,fighting,405,60,85,60,85,60,55,3,false
257,blaziken,fire,fighting,530,80,120,70,110,70,80,3,false
258,mudkip,water,,310,50,70,50,50,50,40,3,false
259,marshtomp,water,ground,405,70,85,70,60,70,50,3,false
260,swampert,water,ground,535,100,110,90,85,90,60,3,false
261,poochyena,dark,,220,35,55,35,30,30,35,3,false
262,mightyena,dark,,420,70,90,70,60,60,70,3,false
263,zigzagoon,normal,,240,38,30,41,30,41,60,3,false
264,linoone,normal,,420,78,70,61,50,61,100,3,false
265,wurmple,bug,,195,45,45,35,20,30,20,3,false
266,silcoon,bug,,205,50,35,55,25,25,15,3,false
267,beautifly,bug,flying,395,60,70,50,100,50,65,3,false
268,cascoon,bug,,205,50,35,55,25,25,15,3,false
269,dustox,bug,poison,385,60,50,70,50,90,65,3,false
270,lotad,water,grass,220,40,30,30,40,50,30,3,false
271,lombre,water,grass,340,60,50,50,60,70,50,3,false
272,ludicolo,water,grass,480,80,70,70,90,100,70,3,false
273,seedot,grass,,220,40,40,50,30,30,30,3,false
274,nuzleaf,grass,dark,340,70,70,40,60,40,60,3,false
275,shiftry,grass,dark,480,90,100,60,90,60,80,3,false
276,taillow,normal,flying,270,40,55,30,30,30,85,3,false
277,swellow,normal,flying,430,60,85,60,50,50,125,3,false
278,wingull,water,flying,270,40,30,30,55,30,85,3,false
279,pelipper,water,flying,430,60,50,100,85,70,65,3,false
280,ralts,psychic,fairy,198,28,25,25,45,35,40,3,false
281,kirlia,psychic,fairy,278,38,35,35,65,55,50,3,false
282,gardevoir,psychic,fairy,518,68,65,65,125,115,80,3,false
283,surskit,bug,water,269,40,30,32,50,52,65,3,false
284,masquerain,bug,flying,414,70,60,62,80,82,60,3,false
285,shroomish,grass,,295,60,40,60,40,60,35,3,false
286,breloom,grass,fighting,460,60,130,80,60,60,70,3,false
287,slakoth,normal,,280,60,60,60,35,35,30,3,false
288,vigoroth,normal,,440,80,80,80,55,55,90,3,false
289,slaking,normal,,670,150,160,100,95,65,100,3,false
290,nincada,bug,ground,266,31,45,90,30,30,40,3,false
291,ninjask,bug,flying,456,61,90,45,50,50,160,3,false
292,shedinja,bug,ghost,236,1,90,45,30,30,40,3,false
293,whismur,normal,,240,64,51,23,51,23,28,3,false
294,loudred,normal,,360,84,71,43,71,43,48,3,false
295,exploud,normal,,490,104,91,63,91,73,68,3,false
296,makuhita,fighting,,237,72,60,30,20,30,25,3,false
297,hariyama,fighting,,474,144,120,60,40,60,50,3,false
298,azurill,normal,fairy,190,50,20,40,20,40,20,3,false
299,nosepass,rock,,375,30,45,135,45,90,30,3,false
300,skitty,normal,,260,50,45,45,35,35,50,3,false
301,delcatty,normal,,380,70,65,65,55,55,70,3,false
302,sableye,dark,ghost,380,50,75,75,65,65,50,3,false
303,mawile,steel,fairy,380,50,85,85,55,55,50,3,false
304,aron,steel,rock,330,50,70,100,40,40,30,3,false
305,lairon,steel,rock,430,60,90,140,50,50,40,3,false
306,aggron,steel,rock,530,70,110,180,60,60,50,3,false
307,meditite,fighting,psychic,280,30,40,55,40,55,60,3,false
308,medicham,fighting,psychic,410,60,60,75,60,75,80,3,false
309,electrike,electric,,295,40,45,40,65,40,65,3,false
310,manectric,electric,,475,70,75,60,105,60,105,3,false
311,plusle,electric,,405,60,50,40,85,75,95,3,false
312,minun,electric,,405,60,40,50,75,85,95,3,false
313,volbeat,bug,,400,65,73,55,47,75,85,3,false
314,illumise,bug,,400,65,47,55,73,75,85,3,false
315,roselia,grass,poison,400,50,60,45,100,80,65,3,false
316,gulpin,poison,,302,70,43,53,43,53,40,3,false
317,swalot,poison,,467,100,73,83,73,83,55,3,false
318,carvanha,water,dark,305,45,90,20,65,20,65,3,false
319,sharpedo,water,dark,460,70,120,40,95,40,95,3,false
320,wailmer,water,,400,130,70,35,70,35,60,3,false
321,wailord,water,,500,170,90,45,90,45,60,3,false
322,numel,fire,ground,305,60,60,40,65,45,35,3,false
323,camerupt,fire,ground,460,70,100,70,105,75,40,3,false
324,torkoal,fire,,470,70,85,140,85,70,20,3,false
325,spoink,psychic,,330,60,25,35,70,80,60,3,false
326,grumpig,psychic,,470,80,45,65,90,110,80,3,false
327,spinda,normal,,360,60,60,60,60,60,60,3,false
328,trapinch,ground,,290,45,100,45,45,45,10,3,false
329,vibrava,ground,dragon,340,50,70,50,50,50,70,3,false
330,flygon,ground,dragon,520,80,100,80,80,80,100,3,false
331,cacnea,grass,,335,50,85,40,85,40,35,3,false
332,cacturne,grass,dark,475,70,115,60,115,60,55,3,false
333,swablu,normal,flying,310,45,40,60,40,75,50,3,false
334,altaria,dragon,flying,490,75,70,90,70,105,80,3,false
335,zangoose,normal,,458,73,115,60,60,60,90,3,false
336,seviper,poison,,458,73,100,60,100,60,65,3,false
337,lunatone,rock,psychic,440,70,55,65,95,85,70,3,false
338,solrock,rock,psychic,440,70,95,85,55,65,70,3,false
339,barboach,water,ground,288,50,48,43,46,41,60,3,false
340,whiscash,water,ground,468,110,78,73,76,71,60,3,false
341,corphish,water,,308,43,80,65,50,35,35,3,false
342,crawdaunt,water,dark,468,63,120,85,90,55,55,3,false
343,baltoy,ground,psychic,300,40,40,55,40,70,55,3,false
344,claydol,ground,psychic,500,60,70,105,70,120,75,3,false
345,lileep,rock,grass,355,66,41,77,61,87,23,3,false
346,cradily,rock,grass,495,86,81,97,81,107,43,3,false
347,anorith,rock,bug,355,45,95,50,40,50,75,3,false
348,armaldo,rock,bug,495,75,125,100,70,80,45,3,false
349,feebas,water,,200,20,15,20,10,55,80,3,false
350,milotic,water,,540,95,60,79,100,125,81,3,false
351,castform,normal,,420,70,70,70,70,70,70,3,false
352,kecleon,normal,,440,60,90,70,60,120,40,3,false
353,shuppet,ghost,,295,44,75,35,63,33,45,3,false
354,banette,ghost,,455,64,115,65,83,63,65,3,false
355,duskull,ghost,,295,20,40,90,30,90,25,3,false
356,dusclops,ghost,,455,40,70,130,60,130,25,3,false
357,tropius,grass,flying,460,99,68,83,72,87,51,3,false
358,chimecho,psychic,,425,65,50,70,95,80,65,3,false
359,absol,dark,,465,65,130,60,75,60,75,3,false
360,wynaut,psychic,,260,95,23,48,23,48,23,3,false
361,snorunt,ice,,300,50,50,50,50,50,50,3,false
362,glalie,ice,,480,80,80,80,80,80,80,3,false
363,spheal,ice,water,290,70,40,50,55,50,25,3,false
364,sealeo,ice,water,410,90,60,70,75,70,45,3,false
365,walrein,ice,water,530,110,80,90,95,90,65,3,false
366,clamperl,water,,345,35,64,85,74,55,32,3,false
367,huntail,water,,485,55,104,105,94,75,52,3,false
368,gorebyss,water,,485,55,84,105,114,75,52,3,false
369,relicanth,water,rock,485,100,90,130,45,65,55,3,false
370,luvdisc,water,,330,43,30,55,40,65,97,3,false
371,bagon,dragon,,300,45,75,60,40,30,50,3,false
372,shelgon,dragon,,420,65,95,100,60,50,50,3,false
373,salamence,dragon,flying,600,95,135,80,110,80,100,3,false
374,beldum,steel,psychic,300,40,55,80,35,60,30,3,false
375,metang,steel,psychic,420,60,75,100,55,80,50,3,false
376,metagross,steel,psychic,600,80,135,130,95,90,70,3,false
377,regirock,rock,,580,80,100,200,50,100,50,3,true
378,regice,ice,,580,80,50,100,100,200,50,3,true
379,registeel,steel,,580,80,75,150,75,150,50,3,true
380,latias,dragon,psychic,600,80,80,90,110,130,110,3,true
381,latios,dragon,psychic,600,80,90,80,130,110,110,3,true
382,kyogre,water,,670,100,100,90,150,140,90,3,true
383,groudon,ground,,670,100,150,140,100,90,90,3,true
384,rayquaza,dragon,flying,680,105,150,90,150,90,95,3,true
385,jirachi,steel,psychic,600,100,100,100,100,100,100,3,true
386,deoxysnormal forme,psychic,,600,50,150,50,150,50,150,3,true
387,turtwig,grass,,318,55,68,64,45,55,31,4,false
388,grotle,grass,,405,75,89,85,55,65,36,4,false
389,torterra,grass,ground,525,95,109,105,75,85,56,4,false
390,chimchar,fire,,309,44,58,44,58,44,61,4,false
391,monferno,fire,fighting,405,64,78,52,78,52,81,4,false
392,infernape,fire,fighting,534,76,104,71,104,71,108,4,false
393,piplup,water,,314,53,51,53,61,56,40,4,false
394,prinplup,water,,405,64,66,68,81,76,50,4,false
395,empoleon,water,steel,530,84,86,88,111,101,60,4,false
396,starly,normal,flying,245,40,55,30,30,30,60,4,false
397,staravia,normal,flying,340,55,75,50,40,40,80,4,false
398,staraptor,normal,flying,485,85,120,70,50,60,100,4,false
399,bidoof,normal,,250,59,45,40,35,40,31,4,false
400,bibarel,normal,water,410,79,85,60,55,60,71,4,false
401,kricketot,bug,,194,37,25,41,25,41,25,4,false
402,kricketune,bug,,384,77,85,51,55,51,65,4,false
403,shinx,electric,,263,45,65,34,40,34,45,4,false
404,luxio,electric,,363,60,85,49,60,49,60,4,false
405,luxray,electric,,523,80,120,79,95,79,70,4,false
406,budew,grass,poison,280,40,30,35,50,70,55,4,false
407,roserade,grass,poison,515,60,70,65,125,105,90,4,false
408,cranidos,rock,,350,67,125,40,30,30,58,4,false
409,rampardos,rock,,495,97,165,60,65,50,58,4,false
410,shieldon,rock,steel,350,30,42,118,42,88,30,4,false
411,bastiodon,rock,steel,495,60,52,168,47,138,30,4,false
412,burmy,bug,,224,40,29,45,29,45,36,4,false
413,wormadamplant cloak,bug,grass,424,60,59,85,79,105,36,4,false
414,mothim,bug,flying,424,70,94,50,94,50,66,4,false
415,combee,bug,flying,244,30,30,42,30,42,70,4,false
416,vespiquen,bug,flying,474,70,80,102,80,102,40,4,false
417,pachirisu,electric,,405,60,45,70,45,90,95,4,false
418,buizel,water,,330,55,65,35,60,30,85,4,false
419,floatzel,water,,495,85,105,55,85,50,115,4,false
420,cherubi,grass,,275,45,35,45,62,53,35,4,false
421,cherrim,grass,,450,70,60,70,87,78,85,4,false
422,shellos,water,,325,76,48,48,57,62,34,4,false
423,gastrodon,water,ground,475,111,83,68,92,82,39,4,false
424,ambipom,normal,,482,75,100,66,60,66,115,4,false
425,drifloon,ghost,flying,348,90,50,34,60,44,70,4,false
426,drifblim,ghost,flying,498,150,80,44,90,54,80,4,false
427,buneary,normal,,350,55,66,44,44,56,85,4,false
428,lopunny,normal,,480,65,76,84,54,96,105,4,false
429,mismagius,ghost,,495,60,60,60,105,105,105,4,false
430,honchkrow,dark,flying,505,100,125,52,105,52,71,4,false
431,glameow,normal,,310,49,55,42,42,37,85,4,false
432,purugly,normal,,452,71,82,64,64,59,112,4,false
433,chingling,psychic,,285,45,30,50,65,50,45,4,false
434,stunky,poison,dark,329,63,63,47,41,41,74,4,false
435,skuntank,poison,dark,479,103,93,67,71,61,84,4,false
436,bronzor,steel,psychic,300,57,24,86,24,86,23,4,false
437,bronzong,steel,psychic,500,67,89,116,79,116,33,4,false
438,bonsly,rock,,290,50,80,95,10,45,10,4,false
439,mime jr.,psychic,fairy,310,20,25,45,70,90,60,4,false
440,happiny,normal,,220,100,5,5,15,65,30,4,false
441,chatot,normal,flying,411,76,65,45,92,42,91,4,false
442,spiritomb,ghost,dark,485,50,92,108,92,108,35,4,false
443,gible,dragon,ground,300,58,70,45,40,45,42,4,false
444,gabite,dragon,ground,410,68,90,65,50,55,82,4,false
445,garchomp,dragon,ground,600,108,130,95,80,85,102,4,false
446,munchlax,normal,,390,135,85,40,40,85,5,4,false
447,riolu,fighting,,285,40,70,40,35,40,60,4,false
448,lucario,fighting,steel,525,70,110,70,115,70,90,4,false
449,hippopotas,ground,,330,68,72,78,38,42,32,4,false
450,hippowdon,ground,,525,108,112,118,68,72,47,4,false
451,skorupi,poison,bug,330,40,50,90,30,55,65,4,false
452,drapion,poison,dark,500,70,90,110,60,75,95,4,false
453,croagunk,poison,fighting,300,48,61,40,61,40,50,4,false
454,toxicroak,poison,fighting,490,83,106,65,86,65,85,4,false
455,carnivine,grass,,454,74,100,72,90,72,46,4,false
456,finneon,water,,330,49,49,56,49,61,66,4,false
457,lumineon,water,,460,69,69,76,69,86,91,4,false
458,mantyke,water,flying,345,45,20,50,60,120,50,4,false
459,snover,grass,ice,334,60,62,50,62,60,40,4,false
460,abomasnow,grass,ice,494,90,92,75,92,85,60,4,false
461,weavile,dark,ice,510,70,120,65,45,85,125,4,false
462,magnezone,electric,steel,535,70,70,115,130,90,60,4,false
463,lickilicky,normal,,515,110,85,95,80,95,50,4,false
464,rhyperior,ground,rock,535,115,140,130,55,55,40,4,false
465,tangrowth,grass,,535,100,100,125,110,50,50,4,false
